Country Name,PPP_for_ER,RER,Forex rate,PPP,con_RER,Final_diff,diff_in_ave_RER
Australia,1.511052,106.9638534,0.969463201,1.489748595,1.4442564415939527,-0.06679555840604734,1.171304907634408
Brazil,1.473216,103.1833448,1.672828755,0.880688913,1.4732417378760934,2.5737876093279155e-05,1.292228026509769
Bulgaria,0.701072,101.4509988,1.406458333,0.498452125,0.7010521448078076,-1.9855192192386184e-05,1.1244409476623507
Cameroon,238.707077,100.2207516,471.2486257,0.506541721,238.7070898809628,1.2880962799499684e-05,1.001455183740372
Canada,1.239904,101.5629878,0.989258159,1.253367475,1.2399040008689786,8.689786668014676e-10,1.132146265988311
Chile,348.016847,100.7096651,483.6675,0.719537383,348.0168471921525,1.9215252677895478e-07,1.041865559009973
China,3.524468,102.6950425,6.461461327,0.545456582,3.5244466101506045,-2.138984939570321e-05,1.0325342840560423
Czechia,13.345305,101.8868346,17.69591667,0.754146013,13.345305003060735,3.060735664917047e-09,1.1525744247505751
Denmark,7.466492,99.23230391,5.368711535,1.390741885,7.466492000207143,2.071436355777223e-10,1.0068616386935156
Georgia,0.811295,108.423213,1.68649543,0.481052672,0.811293132917289,-1.8670827109934507e-06,1.1288953884124169
"Hong Kong SAR, China",5.232639,97.9650511,7.784,0.672230128,5.232639316352,3.1635200059554336e-07,0.8398136151369204
Hungary,124.271836,99.75236529,201.055,0.618098709,124.271835937995,-6.20050002453354e-08,1.0715259987016748
Iceland,135.152004,100.9195432,115.9540398,1.16556529,135.15200402615855,2.6158545551879797e-08,0.8221218550850143
Israel,3.944763,101.1591077,3.578129306,1.102465188,3.9447629980276,-1.9724000210885606e-09,1.029660925559306
Japan,107.454281,101.1298016,79.80701983,1.346426432,107.45428095826014,-4.1739852463251736e-08,1.0525212591276614
"Korea, Rep.",854.585723,97.49130219,1108.233333,0.771083474,854.5404084122388,-0.04531458776125419,0.8659637454642213
Mexico,7.673013,99.79591278,12.423325,0.617630823,7.673028444146476,1.5444146475473985e-05,0.9419485761725116
Morocco,3.672276,97.50052828,8.089875,0.453933426,3.6722646746617493,-1.1325338250767203e-05,0.94272544562762
New Zealand,1.485915,104.1897237,1.265810697,1.17388406,1.48591500018579,1.8578982796668697e-10,1.0639768431671022
North Macedonia,19.289463,100.8183809,44.230825,0.436109971,19.289503808056075,4.080805607387106e-05,0.9904287961651392
Norway,9.082736,100.3859866,5.604607307,1.620583834,9.082735997642475,-2.357525730189991e-09,1.0388998125302822
Poland,1.801424,98.42571382,2.962847778,0.608014041,1.8014530503696509,2.9050369650951424e-05,1.0128014322852277
Romania,1.55003,102.5648219,3.048608333,0.508440608,1.5500362743843863,6.274384386273368e-06,1.0709541160493776
Russian Federation,18.443729,104.3909655,29.38234137,0.627715632,18.443754982709297,2.5982709296101802e-05,1.2136799785797168
Saudi Arabia,1.586354,96.52836813,3.75,0.423027802,1.5863542575,2.5749999998936346e-07,0.9082454587400056
Singapore,0.846738,105.1697835,1.257775877,0.673189492,0.8467215036874846,-1.649631251543493e-05,1.0551620678152374
South Africa,4.776628,98.26249409,7.261132132,0.657838137,4.776649634225718,2.163422571843654e-05,1.0795703951567885
Sweden,8.844042,105.8376761,6.493543333,1.361974741,8.844041999134951,-8.650484772942946e-10,1.0114200586335673
Switzerland,1.397498,109.4711042,0.888042028,1.573684528,1.3974979996773427,-3.2265723426405657e-10,1.108591098291766
United Kingdom,0.706052,99.8293106,0.624140836,1.131238271,0.7060520001771345,1.7713452926670925e-10,0.8604663999497619
United States,1.0,95.00911916,1.0,1.0,1.0,0.0,0.8777701636035437
Zambia,2.446346,97.15562268,4.861666667,0.503290893,2.4468325583027632,0.0004865583027631182,1.1086739651729443
