Country Name,PPP_for_ER,RER,Forex rate,PPP,con_RER,Final_diff,diff_in_ave_RER
Australia,1.33649,70.85730399,1.8405625,0.699293638,1.2870936465913752,-0.049396353408624805,0.7759210730269943
Brazil,0.867348,60.93775731,2.920363018,0.296996313,0.8673370489675527,-1.0951032447303888e-05,0.7631607409244651
Bulgaria,0.55829,75.70335456,2.076975,0.268794909,0.558280306120275,-9.693879724936849e-06,0.8390646987170454
Cameroon,242.066023,100.3356422,693.7132265,0.348942507,242.06603239396884,9.393968838367073e-06,1.0026032272852083
Canada,1.229333,72.7627918,1.570342834,0.78336392,1.2301499181861493,0.0008169181861492625,0.8111037773078875
Chile,301.372385,91.67128275,688.9366667,0.437443587,301.37092669707147,-0.0014583029285404336,0.9483613330721924
China,2.691388,94.55452866,8.2769575,0.325164706,2.691374452061995,-1.3547938004787596e-05,0.9506865197919327
Czechia,14.458321,79.41617944,32.73851833,0.441629178,14.458284939015833,-3.606098416675252e-05,0.8983796355368022
Denmark,8.561606,95.56337496,7.894714167,1.084475154,8.561621362043306,1.5362043306765827e-05,0.9696348116493962
Georgia,0.513724,82.55441704,2.195675,0.233968395,0.513718555691625,-5.444308375013307e-06,0.8595511801474787
"Hong Kong SAR, China",6.497167,145.6446651,7.798916667,0.83308767,6.4971813146351955,1.431463519541154e-05,1.2485511041910442
Hungary,118.141282,86.86296108,257.8866667,0.458154697,118.15198764227848,0.01070564227848081,0.9330698159471353
Iceland,91.105413,127.690437,91.66166667,0.993931086,91.10537989788311,-3.310211688756226e-05,1.0402058472957512
Israel,3.462676,100.7873319,4.737825,0.730861581,3.462694270001325,1.827000132470502e-05,1.0258767579936547
Japan,143.774205,104.1390055,125.3880192,1.146634487,143.77422707133815,2.207133815090856e-05,1.0838399310491917
Mexico,6.553697,123.0512576,9.655958333,0.678717585,6.553668720634385,-2.827936561455857e-05,1.1614499398194387
Morocco,3.891983,109.7092732,11.02058333,0.353142449,3.891835786564775,-0.0001472134352251686,1.0607709034143533
New Zealand,1.468962,82.54841414,2.162190833,0.724018927,1.5654670868778962,0.09650508687789605,0.8429775794206064
North Macedonia,20.015094,102.567358,64.34979167,0.311034359,20.01499620386199,-9.779613801086384e-05,1.0076105567549227
Norway,9.05673,100.4556684,7.983778833,1.134388386,9.056705984547833,-2.4015452167347462e-05,1.03962095311383
Poland,1.799795,98.83121683,4.080033333,0.441126225,1.799809702060458,1.4702060457949528e-05,1.0169740617067937
Romania,0.978351,83.55842449,3.305543,0.295975204,0.978358763755772,7.763755772050018e-06,0.8724944574604347
Russian Federation,9.273504,66.46566379,31.34848333,0.29580555,9.273055353096481,-0.000448646903519645,0.7727492989317534
Saudi Arabia,0.866362,123.1769016,3.75,0.231029961,0.86636235375,3.537500000705407e-07,1.1589842827260537
Singapore,0.880189,96.4582086,1.790588333,0.491560735,0.8801829170519049,-6.082948095120777e-06,0.9677593644958823
South Africa,3.223016,75.98964152,10.54074667,0.305768657,3.2230299530631226,1.3953063122684739e-05,0.8348675461914393
Sweden,9.413655,104.6412773,9.737123333,0.966782204,9.413677556497566,2.255649756577327e-05,0.9999868735048443
Switzerland,1.70976,98.07989453,1.5586075,1.096984473,1.7097682270013475,8.22700134750498e-06,0.9932346877465157
United Kingdom,0.689877,128.1606967,0.667223333,1.033988309,0.6899011258140139,2.4125814013897795e-05,1.1046652795827514
United States,1.0,125.914936,1.0,1.0,1.0,0.0,1.1633027960897238
Zambia,0.943074,69.98026601,4.398595,0.214403268,0.9430731426084601,-8.573915398768506e-07,0.7985672559240924
