Country Name,PPP_for_ER,RER,Forex rate,PPP,con_RER,Final_diff,diff_in_ave_RER
Australia,1.470403,89.96307172,1.338412146,1.139758933,1.5254671994392002,0.05506419943920027,0.9851382879545943
Brazil,2.226397,71.44100728,3.653825361,0.609337424,2.22641253321761,1.5533217609942085e-05,0.8946993531586352
Bulgaria,0.680103,101.8315396,1.657041667,0.410440114,0.6801163707062301,1.337070623008696e-05,1.1286587046370231
Cameroon,231.68269,97.62684522,555.4464584,0.41711072,231.68267218467403,-1.7815325975334417e-05,0.9755355917505208
Canada,1.206524,82.42591071,1.295817928,0.93110755,1.2065458561861564,2.1856186156465895e-05,0.9188208130975488
Chile,396.229413,97.14981909,641.2768131,0.617875796,396.22942135050573,8.35050570913154e-06,1.0050381010940388
China,4.229198,121.961464,6.615957177,0.639237911,4.229170645090938,-2.7354909062360377e-05,1.2262460762277476
Colombia,1322.160543,78.27170143,2955.70397,0.44732509,1322.1605443936073,1.3936073628428858e-06,
Costa Rica,337.901936,106.1250793,576.9725012,0.585646519,337.90193688650334,8.865033578331349e-07,
Czechia,12.371528,99.24057323,21.72991667,0.56933159,12.371528008298606,8.29860624662615e-09,1.122639122626002
Denmark,6.765997,97.34082934,6.314618787,1.071481467,6.765997001440519,1.4405197035216588e-09,0.9876697716294941
Georgia,0.820068,97.57555766,2.534110833,0.323562208,0.8199424964421994,-0.0001255035578006103,1.015950311896253
"Hong Kong SAR, China",6.086028,121.4389496,7.8385,0.776427687,6.086028424549499,4.2454949955583743e-07,1.0410455783655104
Hungary,139.092451,90.28778935,270.2116667,0.514753684,139.09245089360513,-1.0639487868502329e-07,0.9698588436731912
Iceland,140.970278,140.4314849,108.3001763,1.301662498,140.9702780164984,1.64984044204175e-08,1.1439983695678397
Israel,3.784664,106.2803735,3.590558127,1.054060084,3.7846640009525028,9.525029653900674e-10,1.0817883849997496
Japan,104.158636,74.48282141,110.4231793,0.943267859,104.15863592228412,-7.771588173000055e-08,0.7751894271869503
Mexico,9.276363,80.92065384,19.24434167,0.482031718,9.27638307696909,2.007696908989942e-05,0.7637897439303996
Morocco,3.972381,99.42415825,9.386102421,0.422589618,3.966469436599265,-0.005911563400734732,0.9613248824992137
New Zealand,1.47006,103.3188122,1.445258333,1.017160715,1.470059999353988,-6.460119106321827e-10,1.055083166943178
North Macedonia,18.95113,99.8157866,52.10710833,0.363693678,18.951025878482138,-0.00010412151786098889,0.9805794189312799
Norway,9.583999,85.97814289,8.1325,1.178481279,9.583999001467502,1.467501675733729e-09,0.8897922863082447
Poland,1.748426,93.51398693,3.611716667,0.484100562,1.748434068279467,8.068279466977302e-06,0.9622597208145507
Romania,1.665591,97.73923305,3.941616667,0.422564885,1.6655887936049383,-2.206395061765676e-06,1.0205666230909416
Russian Federation,24.542904,85.02550551,62.66813333,0.391633128,24.542917081948957,1.3081948956994438e-05,0.988531461624487
Saudi Arabia,1.863075,113.953506,3.75,0.496820051,1.8630751912499999,1.912499998368844e-07,1.0722003939050946
Singapore,0.895652,106.3127708,1.348841667,0.664036519,0.8956801252368373,2.812523683726198e-05,1.0666295901664131
South Africa,6.51186,80.8276609,13.23392647,0.492059063,6.511873458639098,1.3458639097407854e-05,0.8880209140375576
Sweden,8.865881,89.26404292,8.692518333,1.019943894,8.86588099722641,-2.773589358184836e-09,0.8530369037837904
Switzerland,1.178866,103.224991,0.977891667,1.205528267,1.178876046632251,1.0046632251015097e-05,1.0453380093323994
United Kingdom,0.687714,99.03689285,0.74953154,0.917463776,0.687668036919495,-4.59630805050848e-05,0.8536362531271434
United States,1.0,113.2070816,1.0,1.0,1.0,0.0,1.0458974824276408
Zambia,4.398242,88.52885033,10.45833333,0.420550358,4.398255826014832,1.3826014832574174e-05,1.010231099550843
