Country Name,PPP_for_ER,RER,Forex rate,PPP,con_RER,Final_diff,diff_in_ave_RER
Australia,1.388356,87.9667003,1.309473333,1.043719741,1.3667231679651668,-0.021632832034833127,0.9632770744008662
Brazil,1.060716,73.46500341,2.434390036,0.435719747,1.0607118105852409,-4.189414759103727e-06,0.9200470924648465
Bulgaria,0.596499,83.04663319,1.574133333,0.378947342,0.5965136424939509,1.4642493950889346e-05,0.9204545645570442
Cameroon,231.948414,99.87097693,527.2583626,0.439914118,231.94839754130322,-1.6458696791232796e-05,0.9979600627118386
Canada,1.213644,90.53838225,1.211405134,1.001521703,1.2132485328266234,-0.00039546717337657356,1.0092524217071122
Chile,333.69,96.32345337,559.7675,0.596122497,333.6899998394475,-1.6055247442636755e-07,0.9964891501868982
China,2.841551,84.91792664,8.194316667,0.346771654,2.8415567440153575,5.7440153575782915e-06,0.8537965266118461
Czechia,14.562493,83.16335595,23.95741667,0.607849474,14.562503121258333,1.0121258332773664e-05,0.9407688198451359
Denmark,8.569438,100.1385619,5.99691,1.428977972,8.56945229006652,1.4290066520317168e-05,1.016056995134278
Georgia,0.575807,88.76234449,1.812675,0.317651816,0.5757995055678,-7.494432199939283e-06,0.9241877139301831
"Hong Kong SAR, China",5.443526,112.0293632,7.777333333,0.69992493,5.443549488686691,2.348868669077575e-05,0.9603811099372671
Hungary,130.929945,96.21453734,199.5825,0.656019165,130.9299449986125,-1.3874910109734628e-09,1.0335231441694779
Iceland,95.840665,156.9783048,62.98166667,1.521722421,95.84061428368742,-5.071631258601883e-05,1.2787938892521344
Israel,3.716937,87.56275226,4.4877,0.828249883,3.7169369999391004,-6.089972970357849e-11,0.8912686814511296
Japan,129.551955,99.45909943,110.2182117,1.175413453,129.551968797782,1.3797782003166503e-05,1.0351332140234997
Mexico,7.126862,109.805001,10.89789167,0.653966544,7.126856552316288,-5.447683712134221e-06,1.0364218480228147
Morocco,3.730461,104.0415051,8.865008333,0.420807806,3.7304647067814476,3.7067814475655325e-06,1.0059696700052156
New Zealand,1.535,105.7473069,1.420273457,1.080757586,1.534971312847195,-2.86871528050181e-05,1.0798827540118021
North Macedonia,19.293497,100.0783396,49.28368333,0.391479728,19.293562944866537,6.59448665381035e-05,0.9831587110147094
Norway,9.005204,99.02383642,6.4425,1.397780986,9.005204002305,2.3049988584489256e-09,1.0248028492531378
Poland,1.867595,97.21325798,3.235483333,0.577219904,1.86758537886786,-9.621132139869815e-06,1.0003252513801006
Romania,1.401277,97.4723698,2.913653167,0.480928831,1.4012598115447579,-1.7188455242234113e-05,1.0177801092481304
Russian Federation,12.736131,81.13447872,28.28444167,0.45028818,12.73614976190046,1.876190045990711e-05,0.9432932430820951
Saudi Arabia,1.095242,101.6178903,3.75,0.292290508,1.096089405,0.0008474050000000233,0.9561333023616201
Singapore,0.847872,90.60274986,1.6643975,0.509416082,0.847870853340595,-1.1466594049824863e-06,0.9090119016173911
South Africa,3.555619,104.4821016,6.359328333,0.559121096,3.555634627370813,1.5627370812953956e-05,1.147902714618789
Sweden,9.479182,107.1817714,7.473088333,1.268440406,9.479167199184383,-1.4800815616666796e-05,1.0242646806739326
Switzerland,1.686548,95.47753788,1.245176667,1.354439447,1.6865163962687832,-3.160373121668947e-05,0.9668811633360952
United Kingdom,0.707619,125.4283688,0.549998333,1.28658,0.70761685527114,-2.1447288599540926e-06,1.0811143170701918
United States,1.0,110.8403959,1.0,1.0,1.0,0.0,1.024032148737001
Zambia,1.434236,80.41598546,4.465,0.321325394,1.43471788421,0.00048188420999983883,0.9176525969770878
