Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,BEL,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,118.1496727,112.9884864,104.9960441,95.77035687,94.69187406,94.10053219,95.26646567,99.21444881,102.3409786,100.1047379,98.91505957,103.1522786,101.6274561,102.5218353,102.4429887,104.1341874,107.9517009,105.2073816,98.9154515,98.72875061,97.00490165,93.01311103,93.62740164,95.10960164,99.70231308,101.3043425,101.0498946,100.6099039,101.4172521,104.147732,104.2134291,100,100.7510963,98.47840151,100.2003188,99.95014666,94.51496147,97.40850259,98.85217537,101.2700408,99.80450408,101.1544021,101.3239147
Benin,BEN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.40935515,45.46028267,53.58837242,46.22099265,56.50691693,65.42557327,67.05781355,69.25521655,72.50136521,75.70335456,78.90516163,82.74728819,83.04663319,86.63796012,91.65334937,99.65979391,103.8760296,100,101.4509988,100.0184043,100.88599,100.1692768,97.06519141,97.28249381,98.53115737,101.8315396,102.3619308,105.262272,106.6591504
Bahrain,BHR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,174.7050539,193.4380538,216.6810907,224.6600116,229.8351918,223.3794746,181.9942724,157.3327893,145.8034106,148.02134,135.9485328,131.0665561,124.3358831,130.482751,125.9685324,120.1269058,119.4435957,127.314042,130.2086333,126.367817,129.2125498,133.1330045,136.2268335,125.6690759,114.9284056,109.1205533,111.9880876,105.087805,97.84062237,102.4372277,100,93.13252846,95.70295962,97.616699,98.9179806,105.7501885,108.9695334,109.4229725,108.3778615,110.7942791,107.2169888,102.2941915
"Bahamas, The",BHS,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,101.249653,106.3993649,109.3118327,112.5824462,115.8120133,118.2789534,114.4368289,112.0621644,110.849585,112.9545727,109.405399,112.7928548,115.664167,118.1881627,113.5685412,106.9219675,107.2454692,111.7357719,118.0793478,115.231091,117.1260657,120.5145266,119.1117592,113.0582627,105.9761633,102.0527672,101.0694887,99.41672851,98.40491362,101.0847016,100,99.33979129,99.2657896,98.70466309,99.03080619,102.2605334,101.2867261,100.8679286,100.4882658,102.0574728,100.5010946,97.53515423
Bosnia and Herzegovina,BIH,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,111.2872384,119.0416225,122.031821,126.0616239,131.1633619,141.6822212,126.8918412,117.6899007,115.1134058,115.8365666,109.921165,106.4881359,103.2109803,104.9981743,104.6378497,102.6245325,106.8048493,108.3283796,111.742451,112.4663536,114.1924836,115.2443691,114.6873311,111.8957927,108.4060889,105.9230615,106.4427868,101.2478198,99.83842573,102.5983355,100,95.36931056,96.98207671,95.4901302,96.44583888,102.8583219,105.0494037,104.886009,103.5998836,103.9933583,103.6611738,100.213057
