Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,AUS,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.049953828,1.057434267,1.020279935,0.921086284,0.898806641,0.971930502,0.99501214,1.022559869,0.881077121,0.812727159,0.824015575,0.712431577,0.699293638,0.787407105,0.970813772,1.043719741,1.050189428,1.119981157,1.324147717,1.062116036,1.324427905,1.489748595,1.588074861,1.484685544,1.333415037,1.226134454,1.055580143,1.114377404,1.139758933,1.058420112,0.974621263,1.080320919
Austria,AUT,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.113358344,1.086956983,1.168425995,1.108044481,1.132637032,1.279645148,1.213667793,1.050270605,1.025701423,0.984677255,0.838174694,0.826686653,0.850824401,1.004616348,1.092238283,1.097211731,1.080003328,1.189687317,1.256648771,1.176758402,1.116521228,1.157235406,1.045365733,1.058617655,1.061202441,0.886293321,0.859987342,0.875513079,0.903906125,0.838644254,0.852515758,0.894743045
Azerbaijan,AZE,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234994468,0.227213556,0.014569134,0.06510294,0.060334131,0.135727688,0.172887937,0.200386373,0.202152709,0.191246533,0.193726969,0.186611352,0.183435467,0.190468346,0.202526716,0.234169598,0.267548272,0.328261306,0.429834041,0.354286005,0.398094137,0.485639844,0.469759789,0.458187325,0.452382952,0.368199403,0.270039148,0.293673976,0.325783322,0.319286061,0.292150672,0.339839206
Burundi,BDI,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41590998,0.395105478,0.354802797,0.320366701,0.321434,0.369780375,0.342867915,0.383435382,0.332534689,0.299498628,0.25919966,0.250182514,0.222029258,0.209549529,0.227062927,0.266317333,0.279359346,0.280033903,0.311415577,0.329434412,0.353228675,0.365965345,0.365373263,0.346803605,0.353723614,0.363038193,0.315770553,0.323840996,0.305282937,0.285320532,0.288981696,0.285946303
Belgium,BEL,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.102269435,1.073429415,1.152868256,1.088389692,1.124942127,1.265763547,1.208586319,1.045851376,1.039737719,0.992608763,0.831242982,0.799339501,0.825769534,0.990981341,1.10498455,1.109464776,1.097890589,1.204480257,1.275056746,1.185654325,1.109073352,1.157982886,1.056272304,1.070683607,1.063084927,0.887608093,0.864503507,0.87621913,0.905091803,0.835805266,0.834200644,0.871528218
Benin,BEN,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432518544,0.406829262,0.329718042,0.408301486,0.272195866,0.341323093,0.349649324,0.312300937,0.321520783,0.329869172,0.291669667,0.282050993,0.303630929,0.367099993,0.396161237,0.400669166,0.400487178,0.427287101,0.478871064,0.462702484,0.438396164,0.467764926,0.458331782,0.468672596,0.455779027,0.373003268,0.361849201,0.37332487,0.383718579,0.355953884,0.368329048,0.361507344
Burkina Faso,BFA,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597280692,0.535462796,0.559244112,0.503297137,0.288113141,0.335136283,0.322249986,0.281966348,0.297762865,0.330395789,0.277685952,0.273772234,0.293303631,0.349187897,0.374291768,0.376538999,0.366203834,0.398891134,0.458495339,0.442434978,0.431238493,0.473456715,0.468075025,0.467866858,0.468501281,0.381277847,0.363136436,0.359519148,0.371009642,0.351125941,0.377307105,0.37293822
Bangladesh,BGD,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412061341,0.377347046,0.358388096,0.349706629,0.335557643,0.351272828,0.353410081,0.345419953,0.336477078,0.325152719,0.314329146,0.295956698,0.284466166,0.292788295,0.293229853,0.284637824,0.267704931,0.26989308,0.287504471,0.304144499,0.320231922,0.328812214,0.300622437,0.312337886,0.332201648,0.35113246,0.364141349,0.375842183,0.374202487,0.37242853,0.378681109,0.378502776
Bulgaria,BGR,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313399749,0.175626179,0.175145064,0.181700096,0.15645642,0.291638252,0.214644917,0.236742825,0.294662134,0.285774467,0.252418688,0.254438554,0.268794909,0.323081023,0.368383699,0.378947342,0.39653324,0.459313948,0.506827126,0.492755481,0.458199996,0.498452125,0.455202302,0.461460327,0.448533035,0.384662936,0.377073776,0.389674176,0.410440114,0.392503566,0.400487738,0.434836343
Bahrain,BHR,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317700239,0.301522675,0.284389935,0.269399148,0.283103844,0.280313669,0.275815023,0.273665657,0.251520996,0.254614375,0.323644163,0.305866309,0.311455521,0.33170226,0.358535384,0.395381631,0.417461869,0.440765611,0.481621844,0.416371432,0.442041735,0.47520877,0.466780063,0.480523927,0.489011169,0.496625266,0.505002731,0.497653486,0.507233619,0.498735001,0.465677286,0.489578875
