Country Name,PPP_for_ER,RER,Forex rate,PPP,con_RER,Final_diff,diff_in_ave_RER
Australia,1.447123,103.4758206,1.035843097,1.484685544,1.5379012719680898,0.09077827196808985,1.1331092947543115
Brazil,1.701276,86.45418455,2.156089151,0.789052596,1.701267741803986,-8.258196013910535e-06,1.0827185385500107
Bulgaria,0.680006,100.88599,1.473566667,0.461460327,0.6799925560101201,-1.344398987990214e-05,1.118178623604191
Cameroon,241.083008,98.93514757,493.8996239,0.488121488,241.08301934070835,1.1340708340412675e-05,0.9886087941501245
Canada,1.224,97.49939566,1.030137364,1.188191054,1.2240000002959417,2.959417155778965e-10,1.0868484585147853
Chile,349.680536,101.3690642,495.2728776,0.706036078,349.6805200404781,-1.595952193156336e-05,1.0486872003216585
China,3.663645,114.6564687,6.195758346,0.591311016,3.6636201624637397,-2.4837536260147175e-05,1.1527989271882186
Czechia,12.785271,96.46537867,19.57058333,0.653290236,12.785271002313367,2.31336727551934e-09,1.0912452895942815
Denmark,7.354846,97.70521113,5.616311686,1.309550896,7.354846000616571,6.165707944205678e-10,0.9913669753800209
Georgia,0.724774,107.1808026,1.66335,0.435718446,0.7247522771541001,-2.1722845899962984e-05,1.1159594927470151
"Hong Kong SAR, China",5.547579,109.4452524,7.756,0.715262869,5.547578811964001,-1.8803599921568548e-07,0.9382286034209676
Hungary,124.979432,96.00883791,223.695,0.558704629,124.97943198415499,-1.5845017742321943e-08,1.0313135495746795
Iceland,137.022617,104.0219242,122.1791213,1.121489625,137.0226169295665,-7.043348659863113e-08,0.8473948115613027
Israel,3.839566,102.3513485,3.610758333,1.063368314,3.839566000823661,8.236611392931081e-10,1.041796301142671
Japan,101.302673,79.64429857,97.59565828,1.037983398,101.30267301152122,1.1521223086674581e-08,0.8289081565174928
Mexico,7.884359,102.2395574,12.77199167,0.617315925,7.884353851858345,-5.148141655197946e-06,0.9650135244891317
Morocco,3.79399,97.0135459,8.405503917,0.451369896,3.7939914288438827,1.4288438827669836e-06,0.9380168487687405
New Zealand,1.445979,110.02556,1.219407974,1.18580412,1.4459789995300527,-4.699471922720022e-10,1.1235719209080943
North Macedonia,19.105341,102.253827,46.39534167,0.411795897,19.105411339619128,7.033961912839004e-05,1.0045304623503275
Norway,9.029349,98.11676545,5.875,1.536910468,9.0293489995,-5.000000413701855e-10,1.0154155244620833
Poland,1.762045,96.27151127,3.160616667,0.557503322,1.7620542914210677,9.291421067647576e-06,0.9906346697249632
Romania,1.606223,101.1520871,3.327916667,0.48265503,1.606235718748385,1.27187483851543e-05,1.0562027215564262
Russian Federation,19.505592,106.9971865,31.83714364,0.612668616,19.505618731312,2.673131200126022e-05,1.2439806682256422
Saudi Arabia,1.666466,101.5634993,3.75,0.444391028,1.666466355,3.5500000006294385e-07,0.9556215317836715
Singapore,0.858817,112.0582354,1.2513,0.686339744,0.8588169216672,-7.833280002422782e-08,1.1242734885005317
South Africa,5.295738,82.10415241,9.655056069,0.548769789,5.298403081768299,0.00266508176829916,0.9020452114729839
Sweden,8.597681,106.4420426,6.513971667,1.319883082,8.597680999900637,-9.936229616869241e-11,1.017195586058117
Switzerland,1.312477,103.6178556,0.926903548,1.415980123,1.3124769999061763,-9.382361554344243e-11,1.04931646740658
United Kingdom,0.695248,102.0769114,0.639660578,1.086901435,0.6952480001411293,1.4112933044430065e-10,0.8798393171549039
United States,1.0,97.55715774,1.0,1.0,1.0,0.0,0.9013109801168324
Zambia,2.832861,103.0279264,5.396483333,0.524846908,2.832327591398584,-0.000533408601415708,1.1756847059861206
